antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Binders', 'Paper'})",frozenset({'Storage'}),0.054715479506565856,0.15459610027855153,0.01054516514126542,0.19272727272727275,1.2466502866502869,1.0,0.0020863653846793333,1.0472345604657582,0.20930251029574706,0.05305305305305305,0.04510408866257304,0.13046917046917048
frozenset({'Storage'}),"frozenset({'Binders', 'Paper'})",0.15459610027855153,0.054715479506565856,0.01054516514126542,0.06821106821106822,1.2466502866502869,1.0,0.0020863653846793333,1.0144835254466829,0.23403064872089768,0.05305305305305305,0.014276747806531018,0.13046917046917048
"frozenset({'Binders', 'Paper'})",frozenset({'Phones'}),0.054715479506565856,0.16195781933943493,0.010744130521289296,0.19636363636363638,1.212436899709627,1.0,0.0018825307762943486,1.0428126682427847,0.18535668904012417,0.052173913043478265,0.04105499438832775,0.13135135135135137
frozenset({'Phones'}),"frozenset({'Binders', 'Paper'})",0.16195781933943493,0.054715479506565856,0.010744130521289296,0.06633906633906635,1.212436899709627,1.0,0.0018825307762943486,1.0124494732653362,0.2090763603109283,0.052173913043478265,0.012296389690622493,0.13135135135135137
frozenset({'Binders'}),"frozenset({'Paper', 'Phones'})",0.26263430163151613,0.034818941504178275,0.010744130521289296,0.04090909090909091,1.174909090909091,1.0,0.0015994821357908223,1.0063499188108094,0.20189482520837063,0.03747397640527411,0.006309851764397217,0.17474025974025972
"frozenset({'Paper', 'Phones'})",frozenset({'Binders'}),0.034818941504178275,0.26263430163151613,0.010744130521289296,0.30857142857142855,1.1749090909090907,1.0,0.0015994821357908223,1.0664379935081376,0.15424082090748745,0.03747397640527411,0.062298974635725805,0.17474025974025972
frozenset({'Fasteners'}),frozenset({'Paper'}),0.04277755670513331,0.2373656983684839,0.011738957421408675,0.2744186046511628,1.1561005087818477,1.0,0.001585032799597286,1.051066505453692,0.14105739319145028,0.04373610081541883,0.048585417943319636,0.16193687986120586
frozenset({'Paper'}),frozenset({'Fasteners'}),0.2373656983684839,0.04277755670513331,0.011738957421408675,0.04945515507124895,1.1561005087818477,1.0,0.001585032799597286,1.0070250219142647,0.17704855691209687,0.04373610081541883,0.006976015254229314,0.16193687986120586
"frozenset({'Binders', 'Phones'})",frozenset({'Paper'}),0.039594110624751294,0.2373656983684839,0.010744130521289296,0.271356783919598,1.1432013377870072,1.0,0.0013458468015661966,1.0466498346529085,0.13042761012514476,0.04035874439461883,0.044570622483668006,0.15831041207715021
frozenset({'Paper'}),"frozenset({'Binders', 'Phones'})",0.2373656983684839,0.039594110624751294,0.010744130521289296,0.04526404023470243,1.1432013377870072,1.0,0.0013458468015661966,1.0059387410225389,0.164250997671295,0.04035874439461883,0.005903680592420635,0.15831041207715021
