Customer ID,Sales,Profit,Quantity,cluster
AA-10315,5563.56,-362.8825000000002,30,1
AA-10375,1056.39,277.3824,41,1
AA-10480,1790.512,435.82739999999995,36,1
AA-10645,5086.9349999999995,857.8032999999999,64,0
AB-10015,886.156,129.3465,13,1
AB-10060,7755.620000000001,2054.5884999999994,56,2
AB-10105,14473.571,5444.8054999999995,73,2
AB-10150,966.71,313.65970000000004,37,1
AB-10165,1113.838,220.813,48,1
AB-10255,914.532,264.5675,39,1
AB-10600,1515.862,-274.96040000000016,38,1
AC-10420,925.8000000000001,-62.13420000000007,17,1
AC-10450,5527.846,1366.0097999999998,43,0
AC-10615,2537.686,298.82730000000004,59,0
AC-10660,657.316,-28.70040000000001,16,1
AD-10180,6106.88,1869.9294,40,2
AF-10870,2052.908,317.9712,51,1
AF-10885,861.565,-163.1175,37,1
AG-10270,2582.8979999999997,732.7398999999998,58,0
AG-10300,367.548,59.28839999999999,16,1
AG-10330,660.972,-5.1370999999999825,47,1
AG-10390,200.94500000000002,69.2784,33,1
AG-10495,2356.855,295.6668000000001,93,0
AG-10525,1455.038,-152.76130000000003,33,1
AG-10675,3489.0395999999996,-246.42570000000006,54,0
AG-10765,170.584,-8.431000000000026,20,1
AG-10900,4510.7970000000005,343.68239999999986,92,0
AH-10030,1744.7,365.2151999999999,54,0
AH-10075,3250.337,281.1889999999999,75,0
AH-10120,1735.5140000000001,-2.314600000000052,65,0
AH-10195,1587.4520000000002,-378.55089999999984,28,1
AH-10210,4805.344,1308.5546,53,0
AH-10465,2495.3916,-196.12010000000024,35,1
AH-10585,738.504,83.96300000000002,17,1
AH-10690,7888.294,1298.0165999999995,102,2
AI-10855,4375.786,867.7271000000001,72,0
AJ-10780,4867.344,150.71299999999974,62,0
AJ-10795,4501.391,1158.7063999999998,88,0
AJ-10945,1839.24,521.1351999999999,40,1
AJ-10960,629.2479999999999,60.42649999999998,22,1
AM-10360,814.012,194.9878,48,1
AM-10705,5664.022,1085.7325999999998,81,0
AO-10810,161.28,12.095999999999997,2,1
AP-10720,1638.554,285.7887999999999,85,0
AP-10915,3323.556,579.3112999999998,102,0
AR-10345,1055.694,-221.0544000000001,18,1
AR-10405,2236.1279999999997,-98.76459999999983,29,1
AR-10510,264.86400000000003,43.66949999999999,33,1
AR-10540,6608.448,2884.6207999999997,33,2
AR-10570,88.15,32.632999999999996,6,1
AR-10825,4523.336,494.8352,54,0
AS-10045,3050.692,-253.57460000000026,48,1
AS-10090,3255.3100000000004,64.53739999999996,81,0
AS-10135,58.82,21.8496,9,1
AS-10225,4260.784,719.7750999999998,41,0
AS-10240,584.6080000000001,33.71579999999997,39,1
AS-10285,3214.236,354.6276,39,1
AS-10630,833.3979999999999,136.49189999999996,34,1
AT-10435,1171.814,100.87679999999997,28,1
AT-10735,3831.8639999999996,974.107,60,0
AW-10840,649.3760000000001,65.7725,24,1
AW-10930,2852.9680000000003,-104.54860000000016,68,0
AY-10555,497.014,103.34989999999999,34,1
AZ-10750,1622.018,154.95029999999997,40,1
BB-10990,744.34,11.58389999999996,26,1
BB-11545,6765.728,1015.0749999999995,83,0
BC-11125,2933.6760000000004,251.59740000000002,60,0
BD-11320,5718.521,1094.5036999999998,75,0
BD-11500,4411.243,1142.1225000000002,49,0
BD-11560,320.54,116.714,11,1
BD-11605,3288.471,634.8462999999998,74,0
BD-11620,1538.1100000000001,206.75689999999997,27,1
BD-11635,582.6460000000001,141.53399999999996,19,1
BD-11725,1526.5,333.9791,29,1
BD-11770,658.466,141.26499999999996,21,1
BE-11335,4204.676,1487.7739000000001,35,0
BE-11410,2261.438,755.9150999999997,19,1
BE-11455,1727.652,139.2007999999999,40,1
BF-10975,599.798,227.43839999999997,38,1
BF-11005,1333.88,-291.3811000000001,26,1
BF-11020,2888.506,302.02,78,0
BF-11080,272.95,110.92719999999998,29,1
BF-11170,5907.972,1538.2127,102,2
BF-11215,1585.162,523.2133,48,1
BF-11275,791.99,25.870199999999986,11,1
BG-11035,2798.948,-711.4274,35,1
BG-11695,1874.1719999999998,107.5714999999998,24,1
BG-11740,1006.3560000000001,119.34789999999997,22,1
BH-11710,6255.351,802.7897999999999,97,0
BK-11260,659.138,-63.76440000000004,58,1
BM-11140,11789.63,-1659.958100000002,64,3
BM-11575,808.162,95.58159999999998,22,1
BM-11650,7294.185,2199.2780999999995,95,2
BM-11785,1338.842,137.74389999999994,44,1
BN-11470,265.296,36.61309999999998,15,1
BN-11515,1459.344,340.7054,79,0
BO-11350,2682.728,278.777,43,1
BO-11425,130.83,59.45219999999999,7,1
BP-11050,983.42,209.78300000000002,30,1
BP-11095,2442.044,433.9750999999999,70,0
BP-11155,1697.861,647.3847000000001,32,1
BP-11185,3675.8610000000003,363.59909999999985,69,0
BP-11230,1181.49,-197.26950000000002,14,1
BP-11290,2475.157,-319.0637000000001,51,1
BS-11365,10501.653,2616.0643999999998,39,2
BS-11380,3887.8340000000003,-17.53220000000004,58,0
BS-11590,2454.928,381.7807,41,1
BS-11665,3288.1100000000006,238.7367999999999,47,0
BS-11755,2562.382,-113.29840000000004,45,1
BS-11800,949.4300000000001,194.05159999999998,22,1
BT-11305,2567.656,417.59180000000003,33,1
BT-11395,2186.613,257.91629999999986,38,1
BT-11440,603.876,-77.52560000000003,16,1
BT-11485,415.19599999999997,126.86939999999997,11,1
BT-11530,2684.492,409.4983,44,1
BT-11680,3196.752,447.74839999999983,88,0
BV-11245,1523.273,315.2214,49,1
BW-11065,385.516,-58.28659999999997,8,1
BW-11110,4750.358,921.2573999999995,74,0
BW-11200,1738.4060000000002,246.9973,49,1
CA-11965,3789.7228,1143.3817000000001,29,1
CA-12055,1679.7240000000002,211.25589999999994,49,1
CA-12265,2648.2871999999998,279.61830000000003,65,0
CA-12310,1421.954,246.02179999999998,25,1
CA-12775,3041.566,204.48949999999996,72,0
CB-12025,6076.139,150.20889999999946,122,0
CB-12415,1949.2,272.3883,44,1
CB-12535,4246.4555,1049.5600999999997,74,0
CC-12100,1770.9450000000002,208.5911999999999,46,1
CC-12145,2471.65,392.28249999999974,31,1
CC-12220,3913.4179999999997,393.9617999999999,81,0
CC-12370,12129.072,2177.0492999999988,34,2
CC-12430,2870.05,424.65829999999977,63,0
CC-12475,1659.438,154.85099999999989,40,1
CC-12550,113.832,33.8706,14,1
CC-12610,2540.631,331.43399999999986,39,1
