ds,yhat,yhat_lower,yhat_upper
2021-01-03,1396.028991408115,-1273.2133435149947,4283.68540051346
2021-01-04,1134.8147042211194,-1580.1691468319134,4046.2128696511727
2021-01-05,1058.5483162721139,-1746.5433613441849,3860.475304484817
2021-01-06,1022.8664241649033,-1726.527668817562,3875.1148188197967
2021-01-07,525.5638432969655,-2369.0031060974984,3181.5067970213595
2021-01-09,886.5787539343846,-1927.4857609610897,3642.6372125914686
2021-01-10,946.7859577497584,-1773.9172140091027,3832.9836194438994
2021-01-11,746.819456047062,-1948.3952557467778,3344.5357003568492
2021-01-13,767.3267845182502,-2147.8776402695457,3397.9090199824
2021-01-14,338.520587576634,-2357.7665491930343,3066.9924758407856
2021-01-15,145.17037083125922,-2760.8832442714643,2984.6140636734394
2021-01-16,833.9748808689781,-1800.5774034117717,3745.4046196098207
2021-01-18,815.9211009587343,-2123.233492883048,3504.4757661434955
2021-01-19,857.4796875695156,-1797.582550244558,3575.419459040741
2021-01-20,935.1789875464451,-1973.2455710508375,3674.415532042908
2021-01-21,544.4651245843899,-2256.313778481378,3171.3118299788257
2021-01-23,1089.64462691389,-1712.3065934775268,3931.1516772290115
2021-01-26,1116.0453059285737,-1448.4695975161117,3855.1968750274073
2021-01-27,1175.6790147555162,-1744.9287595312376,3781.900234910819
2021-01-28,758.0814742069492,-2001.939411161284,3459.2246631556864
2021-01-30,1226.2113533191382,-1676.480176598834,3813.459464897492
2021-01-31,1312.103569983573,-1491.8646567692545,3925.9713592514763
2021-02-01,1118.80882794107,-1716.0101868329507,3932.8064725820236
2021-02-02,1095.4426472593525,-1712.0115944688396,3779.962645877251
2021-02-03,1096.9981277091053,-1594.3575841729892,3990.173549750759
2021-02-04,620.9930394707491,-1985.8244128405943,3572.406163991859
2021-02-06,977.553874670836,-1537.9820961141922,3708.611871336171
2021-02-07,1013.3273983683629,-1765.8220276363845,3717.3292852476643
2021-02-08,775.5985171702846,-2142.858066811296,3493.130112979449
2021-02-11,190.68795903126997,-2608.85364848726,2937.450726362826
2021-02-12,-75.78466659029846,-2743.3314229420744,2683.4941436376757
2021-02-14,583.0320542303778,-2301.385843276604,3302.711030881298
2021-02-15,366.5874719928256,-2427.269675080843,3093.257543248839
2021-02-16,337.57738533236,-2449.0287370236424,3177.190709353281
